shipment_id,origin,destination,distance_km,cost
926,India,Germany,6995,3813
927,China,China,2170,4063
928,USA,China,9993,2154
929,USA,USA,1636,4577
930,China,Germany,8202,1548
931,India,USA,6394,3281
932,USA,Germany,7692,748
933,USA,India,285,3410
934,China,China,7771,4844
935,China,USA,8271,2071
936,USA,USA,7458,3700
937,Germany,India,2391,2745
938,USA,China,2698,4461
939,India,USA,4408,4683
940,USA,USA,7047,780
941,Germany,Germany,3972,1067
942,Germany,Germany,9157,3216
943,Germany,USA,4078,194
944,Germany,India,9547,2768
945,USA,Germany,2549,4613
946,China,Germany,4307,2041
947,USA,Germany,2383,1650
948,India,China,6342,578
949,China,Germany,1512,3537
950,USA,India,8018,2458
951,USA,USA,3162,2897
952,Germany,USA,7881,3772
953,China,USA,8592,4553
954,China,China,8813,3719
955,China,India,9369,4429
956,India,USA,8661,1582
957,India,China,6669,3628
958,Germany,China,8786,476
959,USA,China,9889,3674
960,USA,India,8671,2485
961,USA,Germany,9331,3885
962,China,USA,7193,2163
963,India,China,2062,955
964,China,Germany,9078,2654
965,India,India,8535,4788
966,China,China,8845,2019
967,India,India,1218,1468
968,China,USA,654,3485
969,China,Germany,5553,3504
970,Germany,USA,2045,1661
971,China,USA,2844,3930
972,Germany,China,6006,139
973,China,USA,4875,3923
974,China,Germany,1145,1414
975,Germany,USA,9354,4901
976,Germany,India,4173,3073
977,China,Germany,6396,3823
978,India,Germany,6749,2855
979,Germany,Germany,5518,2307
980,USA,China,8995,4005
981,China,India,5284,2153
982,USA,India,8929,4131
983,China,China,3447,2359
984,USA,India,1256,2163
985,Germany,USA,999,2618
986,India,Germany,2022,3833
987,USA,China,1244,4570
988,USA,Germany,7000,625
989,India,India,5512,3800
990,Germany,India,8674,1074
991,India,Germany,2771,4122
992,China,Germany,2725,1718
993,Germany,Germany,4732,4289
994,USA,USA,3292,2263
995,USA,Germany,906,2191
996,Germany,India,629,1064
997,India,China,4301,339
998,China,USA,5311,3068
999,India,USA,376,396
1000,China,India,6812,1895
1001,USA,Germany,2604,1981
1002,USA,China,3779,3438
1003,India,India,952,4110
1004,Germany,Germany,4298,4657
1005,Germany,USA,8906,3097
1006,China,USA,968,2294
1007,Germany,India,2381,3902
1008,USA,Germany,7154,3442
1009,Germany,USA,8067,4803
1010,China,India,590,217
1011,USA,USA,4146,240
1012,Germany,Germany,5167,1029
1013,India,Germany,358,611
1014,India,USA,2454,4236
1015,China,India,9970,2226
1016,China,Germany,5041,1468
1017,USA,USA,3283,3065
1018,India,China,4081,3597
1019,USA,Germany,1620,1757
1020,China,India,4373,1372
1021,China,India,9767,2728
1022,USA,USA,4686,2883
1023,USA,India,6062,4848
1024,China,Germany,4242,1967
1025,USA,India,6509,2711
1026,India,Germany,4363,4386
1027,Germany,China,8479,243
1028,China,USA,4900,4788
1029,India,Germany,1243,3194
1030,China,India,5122,2035
1031,Germany,China,9301,3977
1032,USA,Germany,1675,1836
1033,China,Germany,3520,4275
1034,Germany,USA,4959,3483
1035,Germany,India,3428,1541
1036,China,China,4758,948
1037,USA,India,1723,1656
1038,China,Germany,5419,4120
1039,Germany,Germany,2178,3223
1040,Germany,Germany,6676,1811
1041,USA,USA,5829,4011
1042,China,China,7631,629
1043,India,Germany,3618,1181
1044,USA,Germany,4192,3921
1045,China,China,7077,4057
1046,USA,Germany,263,2933
1047,USA,India,8154,226
